Frame,Time,RightBicepsBrachiiCaputBrevis,RightTricepsBrachiiCaputLongus,LeftBicepsBrachiiCaputBrevis,LeftTricepsBrachiiCaputLongus,RightTrapeziusDescendens,LeftTrapeziusDescendens,RightLatissimusDorsi,LeftLatissimusDorsi
142,0.142,-0.013808,0.001578,-0.004120,-0.010693,0.044426,-0.015813,0.012773,-0.049529
143,0.143,-0.009857,0.005765,0.004696,-0.003721,0.042416,-0.017753,0.015984,-0.050967
144,0.144,-0.007456,0.005219,0.008412,-0.004875,0.037218,-0.008437,0.012925,-0.058942
145,0.145,-0.005409,0.005675,0.002838,-0.021853,0.017203,0.010059,0.002580,-0.035654
146,0.146,-0.003558,0.008148,0.003843,-0.009453,-0.018401,0.017147,-0.004393,-0.005833
147,0.147,-0.005603,0.005053,0.004684,-0.007219,-0.042426,0.019087,-0.013223,0.014014
148,0.148,-0.010338,-0.000565,-0.003069,-0.005160,-0.046673,0.032973,-0.018841,0.010396
149,0.149,-0.003607,0.010854,-0.000009,0.007822,-0.034717,0.030842,-0.017858,0.007139
150,0.150,-0.004677,0.012453,-0.000828,0.009465,-0.031075,0.018816,-0.017042,-0.013521
151,0.151,-0.000706,0.010851,0.003411,0.004860,-0.008073,0.017113,-0.017929,-0.021429
152,0.152,-0.000286,0.003868,0.002738,0.006188,0.000692,0.012893,-0.017294,-0.038317
153,0.153,0.000131,0.007521,0.003417,0.009869,0.030671,0.006495,-0.015299,-0.044494
154,0.154,0.001558,0.001903,0.001742,-0.005000,0.042354,0.011922,-0.008389,-0.042082
155,0.155,-0.002758,-0.005379,0.002258,0.001092,0.052988,0.008717,-0.003868,-0.028791
156,0.156,0.000522,-0.002697,-0.002454,-0.008165,0.056009,-0.003576,0.000328,-0.003337
157,0.157,-0.001938,-0.001885,0.000607,-0.006426,0.047053,-0.002021,-0.001909,0.007494
158,0.158,-0.000182,-0.007133,0.002305,-0.010925,0.022290,-0.003677,0.000071,0.010669
159,0.159,0.002076,-0.006466,0.001798,0.001599,0.012437,-0.010716,0.001716,0.013465
160,0.160,-0.000552,-0.002267,0.002975,0.003272,0.009520,-0.017070,0.004523,0.010673
161,0.161,0.004242,-0.000613,0.000944,0.007786,0.001376,-0.024905,0.005975,0.012932
162,0.162,0.003291,0.004069,-0.003268,0.000856,-0.010965,-0.032172,0.003703,0.019361
163,0.163,0.003525,-0.004242,-0.009645,-0.017995,-0.022082,-0.023736,0.004816,0.009096
164,0.164,0.004938,-0.007464,-0.001855,-0.031558,-0.015966,-0.022745,0.010491,0.018208
165,0.165,0.006185,-0.002255,0.003368,-0.004309,-0.010375,-0.021740,0.014638,0.026414
166,0.166,0.008154,-0.006865,0.004207,0.006498,0.001431,-0.017251,0.016756,0.027689
167,0.167,0.008271,-0.000988,-0.005282,0.003256,-0.000126,-0.007843,0.013118,0.028784
168,0.168,0.011612,0.004218,-0.009020,0.000346,0.001202,0.008506,0.017269,0.029733
