Frame,Time,RightBicepsbrachiicaputbrevis,RightTricepsbrachiicaputlongus,LeftBicepsbrachiicaputbrevis,LeftTricepsbrachiicaputlongus,RightTrapeziusdescendens,LeftTrapeziusdescendens,RightLatissimusDorsi,LeftLatissimusDorsi,
207,0.207,-0.022082,-0.008667,-0.000285,0.004250,-0.039264,0.042836,-0.001122,-0.005254,
208,0.208,-0.015788,0.000133,-0.002467,0.004314,-0.034262,0.035378,0.004602,0.001000,
209,0.209,-0.008495,-0.003585,-0.001777,0.000493,-0.000646,0.033048,0.010462,-0.000022,
210,0.210,-0.012704,-0.006803,-0.001246,0.002930,0.021151,0.018787,0.008207,0.003002,
211,0.211,0.000507,-0.003763,-0.001737,-0.000222,0.040969,-0.009125,0.008831,0.003829,
212,0.212,0.017606,-0.004610,-0.003240,0.001701,0.059015,-0.029088,0.008287,0.004651,
213,0.213,-0.015718,0.001300,-0.001028,-0.000271,0.055870,-0.061898,0.013438,-0.003837,
214,0.214,-0.029758,-0.000905,0.002880,-0.004945,0.041129,-0.127997,0.002759,0.001711,
215,0.215,-0.007436,-0.000241,0.001367,-0.011992,0.027561,-0.175294,0.001227,0.000663,
216,0.216,0.004727,-0.001944,0.000191,-0.016669,0.034896,-0.097581,-0.002817,0.001467,
217,0.217,0.008596,-0.003654,-0.001831,-0.007314,0.014564,-0.045407,-0.009016,-0.002809,
218,0.218,0.005694,0.004112,0.003922,-0.008619,0.006342,-0.016863,-0.005771,0.000867,
219,0.219,0.014796,0.003069,0.004769,-0.005525,0.003814,0.009125,-0.010949,0.001502,
220,0.220,0.017795,0.000001,0.001047,-0.006654,0.005821,0.048328,-0.013572,-0.002783,
221,0.221,0.020445,-0.002733,-0.000981,-0.004058,-0.004540,0.084010,-0.016007,-0.003343,
222,0.222,0.009570,0.001467,0.002060,-0.008394,-0.028936,0.064861,-0.016578,-0.001862,
223,0.223,0.003741,0.000753,-0.003186,-0.012226,-0.025912,0.047534,-0.012950,0.001149,
224,0.224,-0.001578,0.004265,-0.002512,-0.017236,-0.034848,-0.021766,-0.003476,0.003978,
225,0.225,0.000355,0.004735,-0.000818,-0.009044,-0.037639,-0.012218,0.000548,0.005789,
226,0.226,0.005144,0.001821,0.002052,-0.005933,-0.030409,0.013755,0.006728,0.000491,
227,0.227,0.001302,0.006514,-0.002691,-0.000798,-0.001145,0.052938,0.005645,-0.006497,
228,0.228,-0.004747,-0.000469,-0.001015,-0.000065,0.018837,0.060121,0.002571,-0.007390,
229,0.229,0.001054,0.000330,-0.003914,0.005746,0.022435,0.066615,0.001709,-0.003210,
230,0.230,-0.001780,-0.002245,0.003857,0.004960,-0.000510,0.060942,-0.002512,0.000466,
231,0.231,-0.013737,-0.000090,-0.001740,0.006887,-0.027505,0.066315,-0.004683,0.002444,
232,0.232,-0.001679,-0.002163,0.005514,0.008481,-0.038250,0.042338,0.001729,-0.001829,
233,0.233,0.000060,-0.002722,0.002786,0.007876,-0.021763,0.011756,0.002562,0.001011,
234,0.234,-0.003815,0.000100,0.003607,0.009303,-0.018778,-0.031998,0.003219,-0.005802,
235,0.235,-0.012477,-0.001485,-0.001677,0.008023,-0.021320,-0.049144,-0.003181,-0.001287,
236,0.236,-0.004595,0.002687,-0.003741,0.008271,-0.023486,-0.043650,0.001055,0.002895,
237,0.237,-0.005478,0.000940,0.000459,0.007183,0.001430,-0.048171,-0.001115,0.002173,
238,0.238,-0.000773,-0.000648,0.002126,0.006778,0.038037,-0.070041,0.002453,0.002798,
239,0.239,0.001883,-0.001892,0.000592,0.009091,0.062449,-0.066094,0.001969,-0.000294,
240,0.240,0.002662,0.000076,0.000240,0.007183,0.075854,-0.033154,0.006021,-0.002030,
241,0.241,0.002065,0.004246,0.000560,0.010013,0.079938,-0.010921,0.013747,-0.003596,
242,0.242,-0.000914,0.000124,0.000198,0.004232,0.062011,0.009303,0.003432,-0.001437,
243,0.243,0.002015,0.003618,0.002552,0.008459,0.052350,0.020308,0.007472,-0.001816,
244,0.244,0.006793,-0.002524,0.001517,0.010676,0.037600,0.017240,-0.001301,-0.001521,
245,0.245,-0.002653,-0.000039,0.001667,0.008668,0.024009,-0.021717,-0.006830,-0.003253,
246,0.246,-0.003988,-0.000770,0.002837,0.007007,-0.003125,-0.048229,-0.001570,-0.000258,
247,0.247,-0.002783,-0.000145,0.003506,0.006554,-0.028373,-0.062586,-0.002389,-0.000643,
248,0.248,-0.003788,-0.001882,0.000283,0.007126,-0.037971,-0.040617,-0.004899,0.002526,
249,0.249,-0.006834,-0.000230,0.003308,0.001111,-0.046508,0.011408,-0.005541,0.001290,
250,0.250,-0.004130,0.000246,0.004483,0.005406,-0.048948,0.046856,-0.009044,0.002260,
251,0.251,-0.003301,-0.002826,-0.001277,0.006145,-0.036311,0.066068,-0.003270,0.000530,
252,0.252,0.003607,-0.003196,0.001257,0.002668,-0.029344,0.060250,-0.005437,0.005572,
253,0.253,0.012035,0.001004,0.000565,-0.002987,-0.026884,0.054965,-0.000533,0.003508,
254,0.254,-0.005095,0.003857,-0.001464,-0.000678,-0.017146,0.040570,0.001141,0.007711,
255,0.255,0.002139,0.005356,-0.003164,-0.004132,-0.011630,0.009784,-0.001735,0.006002,
256,0.256,-0.009083,0.001118,-0.007221,-0.004531,-0.018836,-0.010184,0.003996,-0.000789,
257,0.257,0.005077,0.001611,-0.005700,-0.007299,-0.028168,-0.035611,-0.002920,-0.003516,
258,0.258,-0.000573,0.002104,-0.008750,-0.006682,-0.031681,-0.058689,0.007358,0.002396,
259,0.259,0.004432,-0.000096,-0.005875,-0.003521,-0.048618,-0.061621,0.003284,0.000200,
260,0.260,0.008926,-0.001286,-0.004010,-0.002218,-0.085647,-0.036960,-0.002948,0.002245,
