Frame,Time,GSensor.X,GSensor.Y,GSensor.Z
607,6.070,62.3,-136.8,215.1
608,6.080,33.5,-125.9,218.6
609,6.090,21.5,-116.8,222.0
610,6.100,68.4,-117.4,217.7
611,6.110,109.3,-116.3,212.2
612,6.120,106.3,-113.6,203.8
613,6.130,119.4,-112.9,196.7
614,6.140,147.2,-112.9,190.1
615,6.150,202.4,-111.1,183.7
616,6.160,242.3,-103.7,178.5
617,6.170,224.3,-88.0,173.5
618,6.180,177.9,-72.3,167.1
619,6.190,141.4,-61.0,161.1
620,6.200,118.7,-53.1,155.9
621,6.210,123.2,-46.8,150.2
622,6.220,119.9,-38.1,143.2
623,6.230,96.8,-26.6,137.4
624,6.240,79.2,-16.1,132.4
625,6.250,60.8,-8.3,127.7
626,6.260,42.9,-1.0,124.5
627,6.270,50.6,4.1,121.0
628,6.280,55.4,10.3,115.7
629,6.290,54.7,16.8,110.2
630,6.300,48.3,23.9,105.5
631,6.310,43.5,27.5,100.8
632,6.320,32.2,30.2,97.6
633,6.330,32.5,31.8,95.2
634,6.340,39.0,33.6,92.4
635,6.350,42.0,35.2,89.5
636,6.360,44.1,36.6,88.0
637,6.370,34.4,39.4,88.0
638,6.380,30.3,39.4,88.3
639,6.390,25.7,39.7,89.7
640,6.400,24.1,40.1,90.6
641,6.410,17.0,41.9,90.9
642,6.420,18.7,42.4,90.5
643,6.430,26.3,42.7,90.4
644,6.440,30.0,41.7,88.6
645,6.450,21.7,42.8,88.7
646,6.460,25.8,42.1,87.9
647,6.470,40.8,41.1,87.0
648,6.480,49.7,42.2,85.4
649,6.490,59.1,44.1,83.4
650,6.500,53.9,48.4,82.1
651,6.510,52.4,52.2,80.3
652,6.520,49.9,56.2,79.0
653,6.530,49.3,59.0,76.8
654,6.540,57.7,61.0,74.3
655,6.550,60.5,64.9,71.5
656,6.560,66.0,69.4,67.6
657,6.570,62.4,76.2,63.7
658,6.580,63.5,83.1,59.8
659,6.590,62.7,90.1,55.5
660,6.600,58.0,97.0,50.8
661,6.610,58.7,102.7,46.0
662,6.620,56.9,109.3,41.1
663,6.630,68.7,113.8,35.6
664,6.640,72.1,120.2,30.1
665,6.650,81.7,126.0,24.4
666,6.660,86.5,133.4,18.4
667,6.670,81.2,142.5,12.5
668,6.680,86.7,150.5,6.0
669,6.690,87.2,159.1,-0.4
670,6.700,100.0,165.9,-7.9
671,6.710,113.9,172.9,-15.5
672,6.720,130.7,179.1,-23.6
673,6.730,144.8,185.2,-31.9
674,6.740,156.1,192.0,-40.3
675,6.750,178.5,198.2,-48.9
676,6.760,190.0,205.5,-57.8
677,6.770,218.5,209.2,-68.0
678,6.780,230.3,212.6,-78.6
679,6.790,247.5,214.2,-89.3
680,6.800,252.0,215.4,-100.2
681,6.810,259.8,215.0,-111.3
682,6.820,272.8,212.3,-123.0
683,6.830,278.0,209.4,-134.6
684,6.840,280.5,205.3,-146.5
685,6.850,261.5,202.0,-158.3
686,6.860,224.6,200.6,-168.7
687,6.870,220.1,195.7,-178.9
688,6.880,216.9,190.1,-189.0
689,6.890,197.3,186.6,-198.6
690,6.900,166.1,186.2,-206.2
691,6.910,143.3,184.1,-213.8
692,6.920,130.6,180.8,-220.5
693,6.930,109.2,178.2,-226.6
694,6.940,114.0,172.7,-233.2
695,6.950,109.3,167.1,-240.8
696,6.960,96.0,161.2,-247.7
697,6.970,78.4,155.2,-252.3
698,6.980,66.7,147.4,-254.8
699,6.990,82.7,133.3,-257.6
700,7.000,97.4,115.3,-261.6
701,7.010,122.1,93.3,-266.7
702,7.020,192.1,72.1,-258.7
703,7.030,208.1,56.5,-248.2
704,7.040,199.7,46.6,-233.2
705,7.050,182.7,36.4,-217.0
706,7.060,150.1,26.1,-200.6
707,7.070,123.9,17.2,-183.7
708,7.080,107.8,10.7,-170.7
709,7.090,119.9,6.1,-159.9
710,7.100,113.4,4.0,-151.9
711,7.110,95.8,0.2,-145.9
712,7.120,79.9,-4.8,-140.3
713,7.130,51.2,-8.1,-137.0
714,7.140,35.3,-10.1,-134.7
715,7.150,30.8,-11.4,-132.4
716,7.160,36.1,-15.3,-130.2
717,7.170,45.5,-22.5,-126.5
718,7.180,37.1,-28.6,-121.7
719,7.190,22.5,-31.9,-117.4
