 Frame,  Time,EMG Signal 1~5,
   868, 0.868,         5.900,
   869, 0.869,         5.785,
   870, 0.870,         5.666,
   871, 0.871,         5.544,
   872, 0.872,         5.419,
   873, 0.873,         5.292,
   874, 0.874,         5.165,
   875, 0.875,         5.038,
   876, 0.876,         4.912,
   877, 0.877,         4.789,
   878, 0.878,         4.670,
   879, 0.879,         4.555,
   880, 0.880,         4.446,
   881, 0.881,         4.344,
   882, 0.882,         4.251,
   883, 0.883,         4.168,
   884, 0.884,         4.095,
   885, 0.885,         4.035,
   886, 0.886,         3.989,
   887, 0.887,         3.957,
   888, 0.888,         3.941,
   889, 0.889,         3.942,
   890, 0.890,         3.961,
   891, 0.891,         3.999,
   892, 0.892,         4.058,
   893, 0.893,         4.137,
   894, 0.894,         4.238,
   895, 0.895,         4.361,
   896, 0.896,         4.507,
   897, 0.897,         4.676,
   898, 0.898,         4.868,
   899, 0.899,         5.084,
   900, 0.900,         5.324,
   901, 0.901,         5.587,
   902, 0.902,         5.873,
   903, 0.903,         6.181,
   904, 0.904,         6.512,
   905, 0.905,         6.863,
   906, 0.906,         7.235,
   907, 0.907,         7.625,
   908, 0.908,         8.034,
   909, 0.909,         8.458,
   910, 0.910,         8.897,
   911, 0.911,         9.348,
   912, 0.912,         9.810,
   913, 0.913,        10.281,
   914, 0.914,        10.759,
   915, 0.915,        11.240,
   916, 0.916,        11.724,
   917, 0.917,        12.207,
   918, 0.918,        12.686,
   919, 0.919,        13.159,
   920, 0.920,        13.624,
   921, 0.921,        14.077,
   922, 0.922,        14.516,
   923, 0.923,        14.938,
   924, 0.924,        15.340,
   925, 0.925,        15.720,
   926, 0.926,        16.076,
   927, 0.927,        16.403,
   928, 0.928,        16.701,
   929, 0.929,        16.967,
   930, 0.930,        17.199,
   931, 0.931,        17.395,
   932, 0.932,        17.552,
   933, 0.933,        17.671,
   934, 0.934,        17.748,
   935, 0.935,        17.783,
   936, 0.936,        17.775,
   937, 0.937,        17.723,
   938, 0.938,        17.628,
   939, 0.939,        17.488,
   940, 0.940,        17.305,
   941, 0.941,        17.078,
   942, 0.942,        16.809,
   943, 0.943,        16.499,
   944, 0.944,        16.148,
   945, 0.945,        15.760,
   946, 0.946,        15.336,
   947, 0.947,        14.878,
   948, 0.948,        14.389,
   949, 0.949,        13.871,
   950, 0.950,        13.328,
   951, 0.951,        12.763,
   952, 0.952,        12.178,
   953, 0.953,        11.579,
   954, 0.954,        10.968,
   955, 0.955,        10.348,
   956, 0.956,         9.724,
   957, 0.957,         9.100,
   958, 0.958,         8.478,
   959, 0.959,         7.863,
   960, 0.960,         7.258,
   961, 0.961,         6.667,
   962, 0.962,         6.094,
   963, 0.963,         5.540,
   964, 0.964,         5.011,
   965, 0.965,         4.508,
   966, 0.966,         4.035,
   967, 0.967,         3.593,
   968, 0.968,         3.186,
   969, 0.969,         2.815,
   970, 0.970,         2.483,
   971, 0.971,         2.191,
   972, 0.972,         1.940,
   973, 0.973,         1.731,
   974, 0.974,         1.566,
   975, 0.975,         1.444,
   976, 0.976,         1.367,
   977, 0.977,         1.334,
   978, 0.978,         1.346,
   979, 0.979,         1.401,
   980, 0.980,         1.499,
   981, 0.981,         1.639,
   982, 0.982,         1.821,
   983, 0.983,         2.042,
   984, 0.984,         2.301,
   985, 0.985,         2.596,
   986, 0.986,         2.925,
   987, 0.987,         3.287,
   988, 0.988,         3.678,
   989, 0.989,         4.097,
